bp_id;age;experience;devision;position;ans_1;ans_2;ans_3_1;yesno_3_1;com_ruk;ans_3_2;yesno_3_2;com_inst;ans_4;ans_5;ans_6;ans_7;ans_8;ans_9;ans_10;ans_11;ans_12_1;ans_12_2;ans_13;ans_14;ans_15;ans_16;ans_17;ans_18;ans_19;ans_20;ans_21;ans_22;ans_23;ans_24;ans_25;ans_26;ans_27;ans_28;ans_29;ans_30_1;ans_30_2;ans_31;ans_32;ans_33;ans_34;ans_35;ans_36;ans_37;ans_38;ans_39;ans_40;ans_41;ans_42;ans_43;ans_44;ans_45;com_nal;ans_46;ans_47;complain
1472863;27;3;4;СБ;1;4;1;0;0;5;0;0;5;5;2;5;4;1;1;2;4;5;4;2;5;3;5;2;3;6;4;3;6;2;5;2;6;6;3;4;2;2;3;2;5;5;1;0;1;0;1;0;1;1;0;0;0;0;1;0 
4111746;21;0;4;БП;5;5;5;0;0;5;0;0;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;2;2;2;2;2;5;5;5;5;2;2;2;2;2;5;5;2;5;5;0;1;1;0;1;1;1;0;0;0;0;0;0 
736680;33;4;1;БП;3;5;5;0;0;5;0;0;3;4;2;5;4;5;3;5;5;5;3;5;2;5;4;4;4;5;2;3;4;3;5;4;6;3;2;2;2;3;3;5;2;5;5;0;0;0;0;0;0;1;0;0;0;0;0;0 
2578151;24;0;2;БП;5;5;6;0;0;6;0;0;5;5;3;5;5;6;3;5;5;5;5;5;4;5;5;5;2;2;2;2;2;4;5;4;5;2;2;2;2;2;5;5;2;5;5;0;1;1;0;1;1;0;0;0;0;0;0;0 
2052913;30;6;2;СБ;2;2;4;1;Не всегда готов выполнять просьбы, с которыми к нему обращаешься. Я считаю, что лояльность к сотрудникам в нынешних условиях интенсивности полётов, просто необходима. ;3;0;0;3;2;3;4;5;4;1;2;4;5;4;2;3;2;5;3;5;4;5;3;5;3;4;3;5;5;3;4;3;4;2;2;4;4;5;0;1;0;1;0;1;0;0;1;Планирование не распределяет равномерно рейсы среди работников. Как правило за одним бортпроводником закрепляется один тип самолёта. И редко есть возможность попасть на другой тип. От этого теряется навык работы на всех типах ВС. Тяжело работать в одном и том же режиме, кто-то ходит каждый день на работу на суперджет, кто-то пропадает в командировках на 777, кто-то летает только заграничные рейсы на 747. ;0;1;1 
318194;42;5;1;БП;2;4;4;0;0;4;0;0;1;3;1;4;4;3;3;3;5;5;3;3;2;5;4;2;5;4;2;3;4;3;5;3;5;4;4;2;2;5;2;3;4;3;3;0;0;0;1;0;1;0;0;1;Сплошные рейсы на сухом ;1;0;0 
4909206;34;9;4;BS;2;4;4;0;0;6;0;0;4;4;3;4;4;4;1;4;5;5;3;4;3;3;4;5;4;3;3;3;6;4;4;3;4;4;4;4;1;5;3;4;4;4;3;0;1;0;1;0;0;0;0;1;После ночного рейса утренний рейс ;0;0;0 
2137829;39;6;1;БП;5;5;4;0;0;5;0;0;2;2;4;5;5;5;2;5;5;5;2;5;4;3;5;5;1;3;3;2;5;4;5;5;4;5;2;2;2;2;3;5;2;3;5;0;1;0;0;0;0;0;0;1;0;0;0;0
653995;19;0;4;БП;2;5;6;0;0;6;0;0;6;3;5;4;4;4;1;5;3;6;3;3;4;1;5;4;2;2;4;3;5;2;4;5;4;3;5;4;2;3;3;4;4;3;4;0;1;0;0;0;0;0;0;1;Планированию нужно придерживаться фиксированному плану, тк бортпроводникам сложно строить свои личные планы на жизнь ;1;0;0
1450721;29;0;4;БП;6;5;5;0;0;6;0;0;2;4;3;4;5;5;4;3;5;6;5;4;4;3;5;5;2;3;2;2;3;3;4;4;5;3;3;2;1;4;4;5;3;5;4;0;1;0;0;1;0;0;0;1;Могут ставить только командировки, имея допуск на 737, их может быть до 7 подряд! Почему не разбавлять их разворотками из СПб. Пример: две- три командировки, далее две- три разворотки итд ;0;0;0 
3510909;26;4;4;БП;2;4;4;0;0;6;0;0;1;1;1;6;2;2;1;1;5;6;2;1;2;4;4;2;6;5;6;3;6;1;6;2;4;5;4;3;1;5;1;2;2;4;2;1;1;1;0;1;0;0;0;1;1. При планировании командировок, было бы не плохо если бы руководство учитывало желание своих подчинённых в них летать. (Можно сделать такой же опрос, многие согласны летать только в командировки) 2. Нужно делать упор на безопасность полёта, а не на сверх навязчивый сервис в авиакомпании. Чтобы пассажиры понимали что мы находимся на борту в первую очередь для обеспечения безопасности, а не для красоты.  3. Некоторым инструкторам нужно оставлять своё плохое настроение за пределами работы, а не приносить его в коллектив.  4. Многие инструктора летая в составе бригады ничего не хотят делать(понимаю что у них помимо полётов есть свои обязанности), в таком случае лучше планировать рейс не в минимальном составе.  5. Многие не получили ни одной премии, потому что выпадало пару дней на отпуск, я считаю это не правильно. Мы не выбираем даты с которых выходим в отпуск и отлетав полный месяц тоже хотелось бы получить хоть какую-то премию. 6. Командировки в регионы, это отвратительно, было бы в тысячу раз приятнее летать, если бы стоянки были в городах куда мы отвозим пассажиров.  7. Резерв в профилактории, кормление отвратительное(ещё и травятся там, попадаются волосы, жуки, или ассортимента нет или оно засохшее), спать невозможно, о каком отдыхе может идти речь.  8. Заработная плата оставляет желать лучшего. ;0;1;0
3634557;32;9;4;СБ;2;4;4;0;0;5;0;0;2;5;5;5;5;5;2;5;5;5;2;4;2;2;5;5;5;4;5;3;5;2;5;5;5;5;5;3;3;5;2;4;2;5;5;1;1;1;0;0;1;1;0;1;4/5 рейсов подряд в дневное время вылета.  отсутсвие Новосибирска и Красноярска в плане с ноября 2019 года.  сб преимущественно летают регулярные рейсы, отсутсвие командировок обеспечивает повышенную психоэмоциональную и физическую нагрузку.  отсутсвие рейсов на 777, что обеспечило бы равномерное распределение трудовых ресурсов в течении месяца, нежели 5 рейсов подряд в Сочи/Симферополь.  минимальное время отдыха в базовом аэропорту, разрешение на сокращение время отдыха не давал.  в летний период навигации от 12до 16 часов критически мало для восстановления между рейсами.  не учитываются особенности  выполненного рейса и после разворотного Египта на 47 ставят вылет через 16 часов на следующий же день.  работа в минимальном составе.  ПЛАНИРОВАНИЕ СБ НЕ СООТВЕТСВУЕТ ГРАМОТНОМУ РАСПРЕДЕЛЕНИЕ ТРУДОВЫХ РЕСУРСОВ ЧЕЛОВЕКА. ;0;1;1 
2145564;38;6;1;СБ;2;5;3;0;0;6;0;0;2;4;1;5;5;5;1;6;6;6;5;3;2;4;5;5;4;2;4;2;5;1;4;5;5;5;3;4;1;4;3;5;2;5;4;0;0;0;0;1;0;0;0;0;0;0;1;0 
