bp_id;age;experience;devision;position;ans_1;ans_2;ans_3_1;yesno_3_1;com_ruk;ans_3_2;yesno_3_2;com_inst;ans_4;ans_5;ans_6;ans_7;ans_8;ans_9;ans_10;ans_11;ans_12_1;ans_12_2;ans_13;ans_14;ans_15;ans_16;ans_17;ans_18;ans_19;ans_20;ans_21;ans_22;ans_23;ans_24;ans_25;ans_26;ans_27;ans_28;ans_29;ans_30_1;ans_30_2;ans_31;ans_32;ans_33;ans_34;ans_35;ans_36;ans_37;ans_38;ans_39;ans_40;ans_41;ans_42;ans_43;ans_44;ans_45;com_nal;ans_46;ans_47;complain
4984682;23;0;5;БП;4;5;4;0;0;6;0;0;2;2;3;4;5;5;2;4;5;5;2;2;5;2;6;5;6;3;2;4;6;1;6;1;6;1;6;2;2;5;1;5;1;6;6;0;1;0;0;1;1;1;0;1;Несправедливо когда меняют 2 рейса в Египет (с дополнительным заработком за уборку) на 1 Дальний восток. Несправедливо что у мужской части нашего коллектива 5-6 Египтов в месяц, а у женской 1-2. Так же несправедливо не летать на  грузовых рейсах ни разу. ;0;0;1. В нашей АК есть положение о присвоении звания «лучший сотрудник». 2. Инструктор в рейсе это как ГУРУ- именно тот человек который покажет своим  качественную  и грамотную работу. Мне совершенно не понятно, по каким параметрам Полюдова Наталья Геннадьевна соответсвует этим требованиям. Полюдова Наталья Геннадьевна не знает знания  бюллетеня и тем самым заставляет нас нарушать работу на борту ВС. В рейсе и при остальных коллегах она позволяет  себе повышать голос, «тормозить» работу, унижать, самоутверждаться, позволяет себе на СБ повышать голос и кричать в окружении других ЧКЭ тем самым авторитет того человека теряется в глазах других людей. Совершенно не владеет понятием «корпоративной культуры». Считаю что это не профессионально. Мне известно, люди берут больничные листы дабы не лететь с ней и другая часть людей находится в стрессовой ситуации на рейсе с ней, а в случае возникновения Аварийной ситуации ещё будет сложнее ориентироваться так-как человек стресс на борту. 
2192307;36;3;2;СБ;2;6;5;0;0;6;1;Не хотелось бы менять Инструктора, грамотный специалист. Очень его люблю. ;4;6;3;5;3;4;1;2;3;5;1;1;3;4;5;5;4;3;2;4;6;1;6;1;6;1;6;2;2;5;1;5;1;6;5;0;1;0;0;1;0;0;0;1;Возникают проблемы с географией полётов и налётом часов. ;0;0;0 
4296008;32;/start;3;БП;2;3;4;0;0;6;0;0;1;1;2;6;2;2;1;2;4;1;1;2;5;5;6;5;3;2;5;2;5;3;6;3;5;4;6;2;2;5;1;5;1;6;5;0;1;0;0;1;0;0;0;1;Возникают проблемы с географией полётов и налётом часов. ;0;0;Много крутых специалистов, Бортпроводников с большой буквы, уволились в первой половине 21 года. Обидно, что их охотно провожало руководство ДОБ, выражая свою крайнюю незаинтересованность в сохранении высокопрофессионального коллектива. Благодаря коллегам, которые не стали терпеть нищанскую оплату труда в тот период и неуважительное отношение руководства, произошёл летний коллапс и повышение оплаты труда. Очень надеюсь, что впредь диалог с работниками будет конструктивнее и человечнее. 
1248898;35;5;5;СБ;6;1;6;1;тест ;6;1;тест ;1;6;1;6;1;6;1;6;1;1;5;2;6;4;6;5;3;2;6;1;6;1;6;1;6;1;6;1;1;2;1;6;1;6;1;1;1;1;0;0;1;1;1;1;Рейсы 6/1 в минимальном составе с минимальным отдыхом и только на Сухом. ;1;1;тест 
1841862;35;5;5;СБ;6;1;6;1;тест ;6;1;тест ;1;6;1;6;1;6;1;6;1;1;5;2;6;4;6;5;3;2;1;2;6;1;6;1;6;1;6;1;1;2;1;6;1;6;1;1;1;1;0;0;1;1;1;1;Рейсы 6/1 в минимальном составе с минимальным отдыхом и только на Сухом. ;0;0;0 
3401751;35;5;5;СБ;6;1;6;1;тест ;6;1;тест ;1;6;1;6;1;6;1;6;1;1;5;2;6;4;6;2;4;5;3;2;6;3;6;2;4;5;5;2;1;5;5;5;2;5;5;0;1;1;0;1;0;1;0;1;0;0;0;Пока нет 
4616406;35;5;5;СБ;6;1;6;1;тест ;6;1;тест ;1;6;1;6;1;6;1;6;1;1;5;2;6;4;6;2;4;5;3;2;6;3;6;2;4;5;5;2;1;4;2;4;2;5;5;0;1;1;0;1;0;1;0;1;0;0;0;Повышение зп и улучшения качества работы с молодыми кадрами и по техническому и интерьерному состоянию ВС 
3830679;35;5;5;СБ;6;1;6;1;тест ;6;1;тест ;1;6;1;6;1;6;1;6;1;1;5;2;6;4;6;2;4;5;3;2;6;3;6;2;4;5;5;2;1;4;2;4;3;4;3;0;0;0;0;0;0;1;0;1;Если повысят ЗП, то думаю все бп приходили бы на работу с радостью. ;0;0;0 
957289;35;5;5;СБ;6;1;6;1;тест ;6;1;тест ;1;6;1;6;1;6;1;6;1;1;5;2;6;4;6;2;4;5;3;2;6;3;6;2;4;5;5;2;1;4;2;4;3;4;3;0;0;0;0;0;0;0;0;1;Если повысят ЗП, то думаю все бп приходили бы на работу с радостью. ;0;0;1. Пожалуйста, снимите с нас обязанность носить аптечки на борт/с борта и переадресуйте ее наземным службам ИЛИ организуйте оплату за то, что мы их носим. Например, 800-1000 рублей за рейс.   2. Увеличьте ЗП. В совокупности мне приходит за месяц Налёт = ЗП один к одному, часто даже меньше. Я не чувствую, что мой труд оплачивается достойно. Энергозатрат тратится гораздо больше, ЗП не компенсирует их абсолютно.   3. Прошу никогда не возвращать уборку силами ЧКЭ. Спасибо за то, что когда-то ее отменили.   4. Переложите обязанность замены подголовников на наземные службы во внебазовом аэропорту ИЛИ введите доплату за их замену силами ЧКЭ. Например 400-500 рублей за рейс.   5. Хотелось бы получить на складе более качественные рубашки. Они очень быстро мнутся, но при этом с трудом отпариваются. Так же протираются в подмышечной области (не у меня одной).   6. Мне кажется, что было бы красиво и эстетично, если СБ и БП BS опрашивали пассажиров бизнес-класса, используя ручки с логотипом авиакомпании Россия.   7. Переместите резерв из профилактория в Парк Инн напротив аэропорта. В профилактории лично мне неуютно, а в кафетерии, для которого дают талончик на питание – заветренная невкусная еда. Это желание с перспективой на будущее, но не основное. Основное – увеличение ЗП. :) 
3446375;32;5;4;СБ;2;2;1;1;0;5;0;0;3;2;2;5;5;5;2;5;5;5;4;5;2;5;5;5;4;2;2;2;2;2;5;5;5;5;1;2;2;5;5;5;2;5;5;0;1;0;0;1;0;1;0;0;0;0;0;0 
4835393;23;0;4;БП;3;4;6;0;0;6;0;0;3;2;3;6;6;5;2;2;2;4;1;3;3;4;4;3;4;4;2;2;6;4;4;3;5;4;3;1;1;5;3;3;3;4;4;1;1;0;0;1;0;0;0;1;Одни RRG , необходимо мешать с другими типами . ;0;1;Платите нормальную зарплату, хотя бы среднюю по рынку, и перестаньте относиться к работникам как к рабам. 
1277773;23;0;4;БП;4;4;6;0;0;6;0;0;3;2;3;6;6;5;2;2;2;5;4;3;3;4;4;3;4;4;2;2;6;4;4;3;5;4;3;1;1;5;3;3;3;4;4;1;1;0;0;1;0;0;0;1;Одни RRG , необходимо мешать с другими типами . ;0;0;0 
3554050;20;0;4;БП;5;5;5;0;0;4;0;0;1;3;2;5;5;3;2;2;5;5;4;5;5;5;5;5;2;2;2;2;2;4;4;2;5;5;3;3;6;6;1;5;3;5;1;0;1;0;0;0;1;0;0;1;Равномерное распределение нагрузки на месяц ;0;1;Оставьте хотя бы премии на ежемесячной основе 
3410533;20;0;4;БП;5;5;6;0;0;6;0;0;1;1;1;5;2;4;1;4;6;6;1;1;2;5;2;1;6;4;2;2;5;2;5;5;5;3;2;2;2;2;5;4;3;5;4;0;1;0;0;0;1;1;0;0;0;0;0;0 
